month,cv
2016/01,247
2016/02,374
2016/03,293
2016/04,248
2016/05,293
2016/06,310
2016/07,286
2016/08,306
2016/09,356
2016/10,421
2016/11,471
2016/12,477
2017/01,618
2017/02,783
2017/03,743
2017/04,556
2017/05,692
2017/06,659
2017/07,529
2017/08,627
2017/09,799
2017/10,774
2017/11,793
2017/12,645
2018/01,1069
2018/02,1009
2018/03,1141
2018/04,901
2018/05,1169
2018/06,1261
2018/07,1359
2018/08,1418
2018/09,1616
2018/10,1649
2018/11,1676
2018/12,1319
2019/01,1783
2019/02,2169
2019/03,2097
2019/04,1584
2019/05,1849
2019/06,1806
2019/07,1778
2019/08,1841
2019/09,1946
2019/10,1783
2019/11,1703
2019/12,1535
2020/01,2327
2020/02,2425